YY1,WGT,INCOME,WAGEINC,NORMINC,IRAKH,THRIFT,RETQLIQ,EDN_INST,DEBT,NETWORTH,ASSET,FIN,CCBAL,DCPLANCJ,AGE,AGECL,HHSEX,MARRIED,KIDS,EDUC,EDCL,RACECL4,LF,HRETQLIQ,ANYPEN,DBPLANCJ,HEDN_INST,NWCAT,INCCAT,has_student_debt,has_ira,has_retirement,age_group,educ_group,race_group,income_group,nw_group,is_married,is_female,in_labor_force,debt_to_income
48,2626.68332198,1020380.7615,45830.6613226,540455.91182,240000.0,10000.0,250000.0,151400.0,853400.0,6281060.0,7134460.0,769100.0,0.0,1.0,55,4,1,1,1,12,4,1,1,1,1,0,1,5,6,1,1,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.14837598444862488
49,61.0640264998,5728832.66532,0.0,3618892.7855800004,4728000.0,0.0,4728000.0,0.0,3442000.0,133813300.0,137255300.0,26287060.0,0.0,0.0,61,4,1,1,0,12,4,1,1,1,0,0,0,5,6,0,1,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
50,11075.1169806,281037.07415,281037.07415,281037.07415,0.0,610000.0,610000.0,31000.0,465050.0,919394.0,1384444.0,672424.0,0.0,1.0,56,4,1,1,3,12,4,1,1,1,1,0,1,4,6,1,0,1,55-64,College degree+,White non-Hispanic,Top 10%,75-89.9%,1,0,1,0.11030573134793646
51,2742.9573059599998,252501.00200199996,239097.69539,252501.00200199996,0.0,0.0,0.0,450000.0,1111400.0,799600.0,1911000.0,111000.0,0.0,0.0,39,2,1,1,2,14,4,4,1,0,0,0,1,4,6,1,0,0,35-44,College degree+,Other,Top 10%,75-89.9%,1,0,1,1.7821711455879123
52,3337.62670728,22915.3306614,0.0,22915.3306614,0.0,0.0,0.0,0.0,0.0,61577.0,61577.0,577.0,0.0,0.0,50,3,2,1,5,8,2,3,0,0,0,0,0,2,1,0,0,0,45-54,HS diploma/GED,Hispanic,Bottom 20%,25-49.9%,1,1,0,0.0
53,4683.0422158599995,297250.7515,135113.97796,297250.7515,0.0,2345000.0,2345000.0,0.0,0.0,4097600.0,4097600.0,2783000.0,0.0,1.0,57,4,1,1,0,12,4,1,1,1,1,0,0,5,6,0,0,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
54,1825.4601725200002,64854.709419,64854.709419,64854.709419,0.0,0.0,0.0,55000.0,55000.0,-54320.0,680.0,680.0,0.0,0.0,39,2,2,2,0,12,4,4,1,0,0,0,1,1,3,1,0,0,35-44,College degree+,Other,40-59.9%,Bottom 25%,0,1,1,0.8480494399360775
55,9133.56152436,64206.1623246,62044.3386768,64206.1623246,0.0,0.0,0.0,2000.0,35200.0,12862.0,48062.0,2424.0,8000.0,0.0,25,1,1,1,0,8,2,1,1,0,0,0,1,1,3,1,0,0,18-34,HS diploma/GED,White non-Hispanic,40-59.9%,Bottom 25%,1,0,1,0.031149658032648346
56,12018.3362918,80636.0220444,75663.827655,108091.18236,0.0,0.0,0.0,0.0,152400.0,244400.0,396800.0,9000.0,0.0,0.0,54,3,2,2,2,9,3,2,1,0,0,0,0,3,3,0,0,0,45-54,Some college,Black/African-American,40-59.9%,50-74.9%,0,1,1,0.0
57,13127.569243200001,127115.230462,64854.709419,127115.230462,0.0,0.0,0.0,0.0,148600.0,157120.0,305720.0,4500.0,35000.0,0.0,58,4,1,1,1,9,3,1,0,0,1,1,0,2,4,0,0,0,55-64,Some college,White non-Hispanic,60-79.9%,25-49.9%,1,0,0,0.0
58,7708.22346254,6485.4709419,6485.4709419,38912.825651,0.0,1100.0,1100.0,39600.0,40150.0,-17511.0,22639.0,3039.0,550.0,1.0,34,1,1,2,0,8,2,1,1,1,1,0,1,1,1,1,0,1,18-34,HS diploma/GED,White non-Hispanic,Bottom 20%,Bottom 25%,0,0,1,6.105955967539758
59,10454.385602,136194.88978,136194.88978,136194.88978,0.0,0.0,0.0,0.0,0.0,413300.0,413300.0,108500.0,0.0,0.0,63,4,2,2,0,13,4,1,1,0,1,1,0,3,4,0,0,0,55-64,College degree+,White non-Hispanic,60-79.9%,50-74.9%,0,1,1,0.0
60,131.748884378,2886034.56914,64854.709419,2886034.56914,1870800.0,0.0,1870800.0,0.0,2050000.0,9719300.0,11769300.0,2383300.0,0.0,0.0,65,5,1,2,0,13,4,1,1,1,0,0,0,5,6,0,1,1,65-74,College degree+,White non-Hispanic,Top 10%,Top 10%,0,0,1,0.0
61,1793.8159570800003,1191164.82966,321246.993988,1191164.82966,1345000.0,0.0,1469000.0,0.0,3615400.0,11703000.0,15318400.0,5361400.0,0.0,0.0,58,4,1,1,0,12,4,1,1,1,1,0,0,5,6,0,1,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
62,7650.80366326,25077.154308799996,0.0,25077.154308799996,0.0,0.0,0.0,0.0,300.0,28061.0,28361.0,221.0,300.0,0.0,50,3,1,1,0,10,3,1,0,0,0,0,0,2,1,0,0,0,45-54,Some college,White non-Hispanic,Bottom 20%,25-49.9%,1,0,0,0.0
63,7953.211648500001,114576.65331,129709.41883999998,114576.65331,82200.0,280000.0,362200.0,0.0,65500.0,936160.0,1001660.0,456200.0,0.0,1.0,53,3,1,1,0,8,2,1,1,1,1,0,0,4,4,0,1,1,45-54,HS diploma/GED,White non-Hispanic,60-79.9%,75-89.9%,1,0,1,0.0
